cidade,uf,status_cidade,observacao
BRASILIA,DF,ABRIR,corrigido: imagem original marcava GO
AGUA FRIA DE GOIAS,GO,ABRIR,
AGUAS LINDAS DE GOIAS,GO,ABRIR,
ALTO PARAISO DE GOIAS,GO,ABRIR,
ALVORADA DO NORTE,GO,ABRIR,
AMARALINA,GO,ABRIR,
BURITINOPOLIS,GO,ABRIR,
CABECEIRAS,GO,ABRIR,
CAMPOS BELOS,GO,ABRIR,
CAMPOS VERDES,GO,ABRIR,
CAVALCANTE,GO,ABRIR,
CERES,GO,ABRIR,
CIDADE OCIDENTAL,GO,ABRIR,
COLINAS DO SUL,GO,ABRIR,
DAMIANOPOLIS,GO,ABRIR,
DIVINOPOLIS DE GOIAS,GO,ABRIR,
ESTRELA DO NORTE,GO,ABRIR,
FLORES DE GOIAS,GO,ABRIR,
FORMOSO,GO,ABRIR,
GUARANI DE GOIAS,GO,ABRIR,
IACIARA,GO,ABRIR,
IPIRANGA DE GOIAS,GO,ABRIR,
MAMBAI,GO,ABRIR,
MARA ROSA,GO,ABRIR,
MIMOSO DE GOIAS,GO,ABRIR,
MINACU,GO,ABRIR,
MONTE ALEGRE DE GOIAS,GO,ABRIR,
MONTIVIDIU DO NORTE,GO,ABRIR,
MUTUNOPOLIS,GO,ABRIR,
NIQUELANDIA,GO,ABRIR,
NOVA GLORIA,GO,ABRIR,
NOVA IGUACU DE GOIAS,GO,ABRIR,
NOVA ROMA,GO,ABRIR,
NOVO GAMA,GO,ABRIR,
PADRE BERNARDO,GO,ABRIR,
PLANALTINA,GO,ABRIR,
PORANGATU,GO,ABRIR,
RUBIATABA,GO,ABRIR,
SANTA ISABEL,GO,ABRIR,
SANTA RITA DO NOVO DESTINO,GO,ABRIR,
SANTA TEREZA DE GOIAS,GO,ABRIR,
SANTA TEREZINHA DE GOIAS,GO,ABRIR,
SANTO ANTONIO DO DESCOBERTO,GO,ABRIR,
SAO DOMINGOS,GO,ABRIR,
SAO JOAO D ALIANCA,GO,ABRIR,
SAO LUIZ DO NORTE,GO,ABRIR,
SITIO D ABADIA,GO,ABRIR,
TERESINA DE GOIAS,GO,ABRIR,
TROMBAS,GO,ABRIR,
VALPARAISO DE GOIAS,GO,ABRIR,
VILA BOA,GO,ABRIR,
ALTO HORIZONTE,GO,OK,
BARRO ALTO,GO,OK,corrigido: imagem original marcava DF
CAMPINACU,GO,OK,
CAMPINORTE,GO,OK,
CARMO DO RIO VERDE,GO,OK,
FORMOSA,GO,OK,
ITAPACI,GO,OK,
POSSE,GO,OK,
RIALMA,GO,OK,
SIMOLANDIA,GO,OK,
URUACU,GO,OK,
