hashtag,cidade_alvo,ultima_busca,leads_encontrados
#modamasculina,GERAL,,
#modamasculinadf,GERAL,,
#modamasculinago,GERAL,,
#lojamasculina,GERAL,,
#lojamultimarcas,GERAL,,
#multimarcas,GERAL,,
#estilomasculino,GERAL,,
#lookmasculino,GERAL,,
#modamasculinaatacado,GERAL,,
#modamasculinabrasilia,GERAL,,
#brasilia,BRASILIA,,
#aguafriadegoias,AGUA FRIA DE GOIAS,,
#aguaslindasdegoias,AGUAS LINDAS DE GOIAS,,
#altoparaisodegoias,ALTO PARAISO DE GOIAS,,
#alvoradadonorte,ALVORADA DO NORTE,,
#amaralina,AMARALINA,,
#buritinopolis,BURITINOPOLIS,,
#cabeceiras,CABECEIRAS,,
#camposbelos,CAMPOS BELOS,,
#camposverdes,CAMPOS VERDES,,
#cavalcante,CAVALCANTE,,
#ceres,CERES,,
#cidadeocidental,CIDADE OCIDENTAL,,
#colinasdosul,COLINAS DO SUL,,
#damianopolis,DAMIANOPOLIS,,
#divinopolisdegoias,DIVINOPOLIS DE GOIAS,,
#estreladonorte,ESTRELA DO NORTE,,
#floresdegoias,FLORES DE GOIAS,,
#formoso,FORMOSO,,
#guaranidegoias,GUARANI DE GOIAS,,
#iaciara,IACIARA,,
#ipirangadegoias,IPIRANGA DE GOIAS,,
#mambai,MAMBAI,,
#mararosa,MARA ROSA,,
#mimosodegoias,MIMOSO DE GOIAS,,
#minacu,MINACU,,
#montealegredegoias,MONTE ALEGRE DE GOIAS,,
#montividiudonorte,MONTIVIDIU DO NORTE,,
#mutunopolis,MUTUNOPOLIS,,
#niquelandia,NIQUELANDIA,,
#novagloria,NOVA GLORIA,,
#novaiguacudegoias,NOVA IGUACU DE GOIAS,,
#novaroma,NOVA ROMA,,
#novogama,NOVO GAMA,,
#padrebernardo,PADRE BERNARDO,,
#planaltina,PLANALTINA,,
#porangatu,PORANGATU,,
#rubiataba,RUBIATABA,,
#santaisabel,SANTA ISABEL,,
#santaritadonovodestino,SANTA RITA DO NOVO DESTINO,,
#santaterezadegoias,SANTA TEREZA DE GOIAS,,
#santaterezinhadegoias,SANTA TEREZINHA DE GOIAS,,
#santoantoniododescoberto,SANTO ANTONIO DO DESCOBERTO,,
#saodomingos,SAO DOMINGOS,,
#saojoaodalianca,SAO JOAO D ALIANCA,,
#saoluizdonorte,SAO LUIZ DO NORTE,,
#sitiodabadia,SITIO D ABADIA,,
#teresinadegoias,TERESINA DE GOIAS,,
#trombas,TROMBAS,,
#valparaisodegoias,VALPARAISO DE GOIAS,,
#vilaboa,VILA BOA,,
